epoch,accuracy,loss,val_accuracy,val_loss
0,0.3885967433452606,1.314308524131775,0.455331414937973,1.2596204280853271
1,0.6556878089904785,0.9726493954658508,0.680115282535553,0.9167563915252686
2,0.7990589737892151,0.5826544165611267,0.7060518860816956,0.7620050311088562
3,0.8519235849380493,0.40954744815826416,0.6974063515663147,0.7788899540901184
4,0.8876280188560486,0.31943973898887634,0.7002881765365601,0.810800313949585
5,0.9072792530059814,0.2644396424293518,0.6945244669914246,0.8784624934196472
6,0.9355106353759766,0.2070830911397934,0.6916426420211792,0.9558600783348083
7,0.9451978802680969,0.17774106562137604,0.680115282535553,1.0045514106750488
8,0.9546083807945251,0.14949695765972137,0.6772334575653076,1.0708585977554321
9,0.9598671197891235,0.12710857391357422,0.6714697480201721,1.123810052871704
10,0.9678937196731567,0.11590543389320374,0.6628242135047913,1.1546334028244019
11,0.9656794667243958,0.10902244597673416,0.6657060384750366,1.2011897563934326
12,0.9690008163452148,0.09569533914327621,0.6858789920806885,1.230191946029663
13,0.972045361995697,0.09227851033210754,0.6599423885345459,1.320965051651001
14,0.9725989699363708,0.08733459562063217,0.6743515729904175,1.3632943630218506
15,0.9712150692939758,0.0870082676410675,0.6657060384750366,1.420328140258789
16,0.9731525182723999,0.08136323094367981,0.6628242135047913,1.4399694204330444
17,0.9748131632804871,0.07080939412117004,0.6685879230499268,1.4803863763809204
18,0.973429262638092,0.07388674467802048,0.6685879230499268,1.4978892803192139
19,0.9773041605949402,0.07153839617967606,0.6541786789894104,1.5766679048538208
20,0.9761970639228821,0.06499408185482025,0.6657060384750366,1.5930838584899902
21,0.9767506122589111,0.0664820596575737,0.6541786789894104,1.567629098892212
22,0.9781345129013062,0.06230821833014488,0.6570605039596558,1.6259491443634033
23,0.9786880612373352,0.059109289199113846,0.6714697480201721,1.5864719152450562
24,0.9781345129013062,0.058025989681482315,0.6570605039596558,1.642669916152954
